airline,month,year,total
Southwest Airlines,1,2018,330
Southwest Airlines,2,2018,288
Southwest Airlines,3,2018,337
Southwest Airlines,4,2018,356
Southwest Airlines,5,2018,383
Southwest Airlines,6,2018,417
Southwest Airlines,7,2018,433
Southwest Airlines,8,2018,390
Southwest Airlines,9,2018,357
Southwest Airlines,10,2018,419
Southwest Airlines,11,2018,365
Southwest Airlines,12,2018,376
Southwest Airlines,1,2019,339
Southwest Airlines,2,2019,299
Southwest Airlines,3,2019,388
Southwest Airlines,4,2019,421
Southwest Airlines,5,2019,446
Southwest Airlines,6,2019,445
Southwest Airlines,7,2019,470
Southwest Airlines,8,2019,431
Southwest Airlines,9,2019,409
Southwest Airlines,10,2019,478
Southwest Airlines,11,2019,410
Southwest Airlines,12,2019,422
Southwest Airlines,1,2020,355
Southwest Airlines,2,2020,310
Southwest Airlines,3,2020,389
Southwest Airlines,4,2020,376
Southwest Airlines,5,2020,195
Southwest Airlines,6,2020,222
Southwest Airlines,7,2020,286
Southwest Airlines,8,2020,289
Southwest Airlines,9,2020,222
Southwest Airlines,10,2020,225
Southwest Airlines,11,2020,265
Southwest Airlines,12,2020,213
Southwest Airlines,1,2021,210
Southwest Airlines,2,2021,154
Southwest Airlines,3,2021,273
Southwest Airlines,4,2021,286
Southwest Airlines,5,2021,318
Southwest Airlines,6,2021,375
Southwest Airlines,7,2021,385
Southwest Airlines,8,2021,390
Southwest Airlines,9,2021,340
Southwest Airlines,10,2021,372
Southwest Airlines,11,2021,331
Southwest Airlines,12,2021,307
Southwest Airlines,1,2022,324
Southwest Airlines,2,2022,310
Southwest Airlines,3,2022,344
Southwest Airlines,4,2022,266
Southwest Airlines,5,2022,275
Southwest Airlines,6,2022,328
Southwest Airlines,7,2022,351
Southwest Airlines,8,2022,349
Southwest Airlines,9,2022,336
Southwest Airlines,10,2022,365
